"locationid","StartStation_Name","borough","zone"
1,"River Street , Clerkenwell"," Clerkenwell","River Street"
2,"Phillimore Gardens, Kensington"," Kensington","Phillimore Gardens"
3,"Christopher Street, Liverpool Street"," Liverpool Street","Christopher Street"
4,"St. Chad's Street, King's Cross"," King's Cross","St. Chad's Street"
5,"Sedding Street, Sloane Square"," Sloane Square","Sedding Street"
6,"Broadcasting House, Marylebone"," Marylebone","Broadcasting House"
7,"Charlbert Street, St. John's Wood"," St. John's Wood","Charlbert Street"
8,"Maida Vale, Maida Vale"," Maida Vale","Maida Vale"
9,"New Globe Walk, Bankside"," Bankside","New Globe Walk"
10,"Park Street, Bankside"," Bankside","Park Street"
11,"Brunswick Square, Bloomsbury"," Bloomsbury","Brunswick Square"
12,"Malet Street, Bloomsbury"," Bloomsbury","Malet Street"
13,"Scala Street, Fitzrovia"," Fitzrovia","Scala Street"
14,"Belgrove Street , King's Cross"," King's Cross","Belgrove Street"
15,"Great Russell Street, Bloomsbury"," Bloomsbury","Great Russell Street"
16,"Cartwright Gardens , Bloomsbury"," Bloomsbury","Cartwright Gardens "
17,"Hatton Wall, Holborn"," Holborn","Hatton Wall"
18,"Drury Lane, Covent Garden"," Covent Garden","Drury Lane"
19,"Taviton Street, Bloomsbury"," Bloomsbury","Taviton Street"
20,"Drummond Street , Euston"," Euston","Drummond Street "
22,"Northington Street , Holborn"," Holborn","Northington Street "
23,"Red Lion Square, Holborn"," Holborn","Red Lion Square"
24,"British Museum, Bloomsbury"," Bloomsbury","British Museum"
25,"Doric Way , Somers Town"," Somers Town","Doric Way "
26,"Ampton Street , Clerkenwell"," Clerkenwell","Ampton Street "
27,"Bouverie Street, Temple"," Temple","Bouverie Street"
28,"Bolsover Street, Fitzrovia"," Fitzrovia","Bolsover Street"
29,"Hereford Road, Bayswater"," Bayswater","Hereford Road"
30,"Windsor Terrace, Hoxton"," Hoxton","Windsor Terrace"
31,"Fanshaw Street, Hoxton"," Hoxton","Fanshaw Street"
32,"Leonard Circus , Shoreditch"," Shoreditch","Leonard Circus "
33,"Central House, Aldgate"," Aldgate","Central House"
34,"Pancras Road, King's Cross"," King's Cross","Pancras Road"
36,"De Vere Gardens, Kensington"," Kensington","De Vere Gardens"
37,"Penywern Road, Earl's Court"," Earl's Court","Penywern Road"
38,"Abingdon Villas, Kensington"," Kensington","Abingdon Villas"
39,"Shoreditch High Street, Shoreditch"," Shoreditch","Shoreditch High Street"
40,"Commercial Street, Shoreditch"," Shoreditch","Commercial Street"
41,"Pindar Street, Liverpool Street"," Liverpool Street","Pindar Street"
42,"Wenlock Road , Hoxton"," Hoxton","Wenlock Road "
43,"Crawford Street, Marylebone"," Marylebone","Crawford Street"
44,"Bruton Street, Mayfair"," Mayfair","Bruton Street"
45,"Boston Place, Marylebone"," Marylebone","Boston Place"
46,"Nesham Street, Wapping"," Wapping","Nesham Street"
47,"Warwick Avenue Station, Maida Vale"," Maida Vale","Warwick Avenue Station"
48,"Godliman Street, St. Paul's"," St. Paul's","Godliman Street"
49,"Curzon Street, Mayfair"," Mayfair","Curzon Street"
50,"East Road, Hoxton"," Hoxton","East Road"
51,"Finsbury Library , Finsbury"," Finsbury","Finsbury Library "
52,"Roscoe Street, St. Luke's"," St. Luke's","Roscoe Street"
53,"Grafton Street, Mayfair"," Mayfair","Grafton Street"
54,"Golden Lane, Barbican"," Barbican","Golden Lane"
55,"Finsbury Circus, Liverpool Street"," Liverpool Street","Finsbury Circus"
56,"Paddington Street, Marylebone"," Marylebone","Paddington Street"
57,"Guilford Street , Bloomsbury"," Bloomsbury","Guilford Street "
58,"New Inn Yard, Shoreditch"," Shoreditch","New Inn Yard"
60,"Lisson Grove, St. John's Wood"," St. John's Wood","Lisson Grove"
61,"Great Dover Street, The Borough"," The Borough","Great Dover Street"
62,"Cotton Garden Estate, Kennington"," Kennington","Cotton Garden Estate"
63,"Murray Grove , Hoxton"," Hoxton","Murray Grove "
64,"William IV Street, Strand"," Strand","William IV Street"
66,"Holborn Circus, Holborn"," Holborn","Holborn Circus"
67,"Hatton Garden, Holborn"," Holborn","Hatton Garden"
68,"Theobald's Road , Holborn"," Holborn","Theobald's Road "
69,"Euston Road, Euston"," Euston","Euston Road"
70,"Calshot Street , King's Cross"," King's Cross","Calshot Street "
71,"Newgate Street , St. Paul's"," St. Paul's","Newgate Street "
72,"Farringdon Lane, Clerkenwell"," Clerkenwell","Farringdon Lane"
73,"Old Street Station, St. Luke's"," St. Luke's","Old Street Station"
74,"Vauxhall Cross, Vauxhall"," Vauxhall","Vauxhall Cross"
75,"Torrens Street, Angel"," Angel","Torrens Street"
76,"Longford Street, The Regent's Park"," The Regent's Park","Longford Street"
77,"Russell Square Station, Bloomsbury"," Bloomsbury","Russell Square Station"
78,"Sadlers Sports Centre, Finsbury"," Finsbury","Sadlers Sports Centre"
79,"Arundel Street, Temple"," Temple","Arundel Street"
80,"Webber Street , Southwark"," Southwark","Webber Street "
81,"Great Titchfield Street, Fitzrovia"," Fitzrovia","Great Titchfield Street"
82,"Chancery Lane, Holborn"," Holborn","Chancery Lane"
83,"Panton Street, West End"," West End","Panton Street"
84,"Breams Buildings, Holborn"," Holborn","Breams Buildings"
85,"Tanner Street, Bermondsey"," Bermondsey","Tanner Street"
86,"Sancroft Street, Vauxhall"," Vauxhall","Sancroft Street"
87,"Devonshire Square, Liverpool Street"," Liverpool Street","Devonshire Square"
88,"Bayley Street , Bloomsbury"," Bloomsbury","Bayley Street "
89,"Tavistock Place, Bloomsbury"," Bloomsbury","Tavistock Place"
90,"Harrington Square 1, Camden Town"," Camden Town","Harrington Square 1"
91,"Walnut Tree Walk, Vauxhall"," Vauxhall","Walnut Tree Walk"
92,"Borough Road, Elephant & Castle"," Elephant & Castle","Borough Road"
93,"Cloudesley Road, Angel"," Angel","Cloudesley Road"
94,"Bricklayers Arms, Borough"," Borough","Bricklayers Arms"
95,"Aldersgate Street, Barbican"," Barbican","Aldersgate Street"
96,"Falkirk Street, Hoxton"," Hoxton","Falkirk Street"
97,"Gloucester Road (North), Kensington"," Kensington","Gloucester Road (North)"
98,"Hampstead Road, Euston"," Euston","Hampstead Road"
99,"Old Quebec Street, Marylebone"," Marylebone","Old Quebec Street"
100,"Albert Embankment, Vauxhall"," Vauxhall","Albert Embankment"
101,"Queen Street 1, Bank"," Bank","Queen Street 1"
102,"Jewry Street, Aldgate"," Aldgate","Jewry Street"
103,"Vicarage Gate, Kensington"," Kensington","Vicarage Gate"
104,"Crosswall, Tower"," Tower","Crosswall"
105,"Westbourne Grove, Bayswater"," Bayswater","Westbourne Grove"
106,"Woodstock Street, Mayfair"," Mayfair","Woodstock Street"
107,"Finsbury Leisure Centre, St. Luke's"," St. Luke's","Finsbury Leisure Centre"
108,"Abbey Orchard Street, Westminster"," Westminster","Abbey Orchard Street"
109,"Soho Square , Soho"," Soho","Soho Square "
110,"Wellington Road, St. John's Wood"," St. John's Wood","Wellington Road"
111,"Park Lane , Hyde Park"," Hyde Park","Park Lane "
112,"Stonecutter Street, Holborn"," Holborn","Stonecutter Street"
113,"Gloucester Road (Central), South Kensington"," South Kensington","Gloucester Road (Central)"
114,"Park Road (Baker Street), The Regent's Park"," The Regent's Park","Park Road (Baker Street)"
115,"Braham Street, Aldgate"," Aldgate","Braham Street"
116,"Little Argyll Street, West End"," West End","Little Argyll Street"
117,"Lollard Street, Vauxhall"," Vauxhall","Lollard Street"
118,"Rochester Row, Westminster"," Westminster","Rochester Row"
119,"Bath Street, St. Luke's"," St. Luke's","Bath Street"
120,"The Guildhall, Guildhall"," Guildhall","The Guildhall"
121,"Baker Street, Marylebone"," Marylebone","Baker Street"
122,"Norton Folgate, Liverpool Street"," Liverpool Street","Norton Folgate"
123,"St. John Street, Finsbury"," Finsbury","St. John Street"
124,"Eaton Square, Belgravia"," Belgravia","Eaton Square"
125,"Borough High Street, The Borough"," The Borough","Borough High Street"
126,"Museum of London, Barbican"," Barbican","Museum of London"
127,"Wood Street, Guildhall"," Guildhall","Wood Street"
128,"Emperor's Gate, South Kensington"," South Kensington","Emperor's Gate"
129,"Golden Square, Soho"," Soho","Golden Square"
130,"Tower Gardens , Tower"," Tower","Tower Gardens "
131,"Eversholt Street , Camden Town"," Camden Town","Eversholt Street "
132,"Bethnal Green Road, Shoreditch"," Shoreditch","Bethnal Green Road"
133,"Derry Street, Kensington"," Kensington","Derry Street"
134,"Wapping High Street, Wapping"," Wapping","Wapping High Street"
135,"Clerkenwell Green, Clerkenwell"," Clerkenwell","Clerkenwell Green"
136,"Queen Victoria Street, St. Paul's"," St. Paul's","Queen Victoria Street"
138,"Green Street, Mayfair"," Mayfair","Green Street"
139,"Lambeth Road, Vauxhall"," Vauxhall","Lambeth Road"
140,"Finsbury Square , Moorgate"," Moorgate","Finsbury Square "
141,"Chapel Place, Marylebone"," Marylebone","Chapel Place"
142,"West Cromwell Road, Earl's Court"," Earl's Court","West Cromwell Road"
143,"Pont Street, Knightsbridge"," Knightsbridge","Pont Street"
144,"Kennington Cross, Kennington"," Kennington","Kennington Cross"
145,"Ilchester Place, Kensington"," Kensington","Ilchester Place"
146,"Vauxhall Bridge , Pimlico"," Pimlico","Vauxhall Bridge "
148,"Tachbrook Street, Victoria"," Victoria","Tachbrook Street"
149,"Kennington Road Post Office, Oval"," Oval","Kennington Road Post Office"
150,"Holy Trinity Brompton, Knightsbridge"," Knightsbridge","Holy Trinity Brompton"
151,"Chepstow Villas, Notting Hill"," Notting Hill","Chepstow Villas"
152,"Hampton Street, Walworth"," Walworth","Hampton Street"
153,"Bayswater Road, Hyde Park"," Hyde Park","Bayswater Road"
154,"Waterloo Station 3, Waterloo"," Waterloo","Waterloo Station 3"
155,"Lexham Gardens, Kensington"," Kensington","Lexham Gardens"
156,"New Kent Road, The Borough"," The Borough","New Kent Road"
157,"Wright's Lane, Kensington"," Kensington","Wright's Lane"
158,"Trebovir Road, Earl's Court"," Earl's Court","Trebovir Road"
159,"Great Marlborough Street, Soho"," Soho","Great Marlborough Street"
160,"Waterloo Place, St. James's"," St. James's","Waterloo Place"
161,"Guildhouse Street, Victoria"," Victoria","Guildhouse Street"
162,"Southampton Place, Holborn"," Holborn","Southampton Place"
163,"Sloane Avenue, Knightsbridge"," Knightsbridge","Sloane Avenue"
164,"Cleveland Gardens, Bayswater"," Bayswater","Cleveland Gardens"
165,"Orsett Terrace, Bayswater"," Bayswater","Orsett Terrace"
166,"Seville Street, Knightsbridge"," Knightsbridge","Seville Street"
167,"Eccleston Place, Victoria"," Victoria","Eccleston Place"
168,"Argyll Road, Kensington"," Kensington","Argyll Road"
169,"Porchester Place, Paddington"," Paddington","Porchester Place"
170,"Hardwick Street, Clerkenwell"," Clerkenwell","Hardwick Street"
171,"Collingham Gardens, Earl's Court"," Earl's Court","Collingham Gardens"
172,"Sumner Place, South Kensington"," South Kensington","Sumner Place"
173,"Waterloo Road, South Bank"," South Bank","Waterloo Road"
174,"Strand, Strand"," Strand","Strand"
175,"Worship Street, Shoreditch"," Shoreditch","Worship Street"
176,"Gloucester Terrace, Bayswater"," Bayswater","Gloucester Terrace"
177,"Ashley Place, Victoria"," Victoria","Ashley Place"
178,"Warwick Square, Pimlico"," Pimlico","Warwick Square"
180,"North Audley Street, Mayfair"," Mayfair","North Audley Street"
181,"Belgrave Square, Belgravia"," Belgravia","Belgrave Square"
182,"Bell Street , Marylebone"," Marylebone","Bell Street "
183,"Riverlight North, Nine Elms"," Nine Elms","Riverlight North"
184,"Portland Place, Marylebone"," Marylebone","Portland Place"
185,"Alderney Street, Pimlico"," Pimlico","Alderney Street"
186,"South Wharf Road, Paddington"," Paddington","South Wharf Road"
187,"Queen's Gate (South), South Kensington"," South Kensington","Queen's Gate (South)"
188,"Nutford Place, Marylebone"," Marylebone","Nutford Place"
189,"Claremont Square, Angel"," Angel","Claremont Square"
190,"Rampayne Street, Pimlico"," Pimlico","Rampayne Street"
191,"Hyde Park Corner, Hyde Park"," Hyde Park","Hyde Park Corner"
192,"Wardour Street, Soho"," Soho","Wardour Street"
193,"Bankside Mix, Bankside"," Bankside","Bankside Mix"
194,"Hop Exchange, The Borough"," The Borough","Hop Exchange"
195,"Milroy Walk, South Bank"," South Bank","Milroy Walk"
196,"Union Street, The Borough"," The Borough","Union Street"
197,"Stamford Street, South Bank"," South Bank","Stamford Street"
199,"Great Tower Street, Monument"," Monument","Great Tower Street"
200,"LMU Commercial Road, Whitechapel"," Whitechapel","LMU Commercial Road"
201,"Dorset Square, Marylebone"," Marylebone","Dorset Square"
202,"Leman Street, Aldgate"," Aldgate","Leman Street"
203,"West Smithfield Rotunda, Farringdon"," Farringdon","West Smithfield Rotunda"
204,"Margery Street, Clerkenwell"," Clerkenwell","Margery Street"
206,"New Road 1 , Whitechapel"," Whitechapel","New Road 1 "
207,"Grosvenor Crescent, Belgravia"," Belgravia","Grosvenor Crescent"
208,"Mallory Street, Marylebone"," Marylebone","Mallory Street"
209,"Denyer Street, Knightsbridge"," Knightsbridge","Denyer Street"
210,"Hinde Street, Marylebone"," Marylebone","Hinde Street"
211,"Cadogan Place, Knightsbridge"," Knightsbridge","Cadogan Place"
212,"Campden Hill Road, Notting Hill"," Notting Hill","Campden Hill Road"
213,"Wellington Arch, Hyde Park"," Hyde Park","Wellington Arch"
214,"Endsleigh Gardens, Euston"," Euston","Endsleigh Gardens"
215,"Moorfields, Moorgate"," Moorgate","Moorfields"
216,"Old Brompton Road, South Kensington"," South Kensington","Old Brompton Road"
217,"Wormwood Street, Liverpool Street"," Liverpool Street","Wormwood Street"
218,"St. Luke's Church, Chelsea"," Chelsea","St. Luke's Church"
219,"Bramham Gardens, Earl's Court"," Earl's Court","Bramham Gardens"
220,"Chelsea Green, Chelsea"," Chelsea","Chelsea Green"
221,"Horseferry Road, Westminster"," Westminster","Horseferry Road"
222,"Knightsbridge, Hyde Park"," Hyde Park","Knightsbridge"
223,"Rodney Road , Walworth"," Walworth","Rodney Road "
224,"Queensway, Kensington Gardens"," Kensington Gardens","Queensway"
225,"Notting Hill Gate Station, Notting Hill"," Notting Hill","Notting Hill Gate Station"
226,"Charles II Street, West End"," West End","Charles II Street"
227,"Great Percy Street, Clerkenwell"," Clerkenwell","Great Percy Street"
228,"St. James's Square, St. James's"," St. James's","St. James's Square"
229,"Whitehall Place, Strand"," Strand","Whitehall Place"
230,"Poured Lines, Bankside"," Bankside","Poured Lines"
231,"Queen's Gate (Central), South Kensington"," South Kensington","Queen's Gate (Central)"
232,"Carey Street, Holborn"," Holborn","Carey Street"
233,"Pall Mall East, West End"," West End","Pall Mall East"
234,"Liverpool Road (N1 Centre), Angel"," Angel","Liverpool Road (N1 Centre)"
235,"Kennington Road  , Vauxhall"," Vauxhall","Kennington Road  "
236,"Fashion Street, Whitechapel"," Whitechapel","Fashion Street"
237,"Dock Street, Wapping"," Wapping","Dock Street"
238,"Frampton Street, Paddington"," Paddington","Frampton Street"
239,"Warren Street Station, Euston"," Euston","Warren Street Station"
240,"Colombo Street, Southwark"," Southwark","Colombo Street"
242,"Beaumont Street, Marylebone"," Marylebone","Beaumont Street"
243,"Gloucester Street, Pimlico"," Pimlico","Gloucester Street"
244,"Earnshaw Street , Covent Garden"," Covent Garden","Earnshaw Street "
245,"Grosvenor Road, Pimlico"," Pimlico","Grosvenor Road"
246,"Berry Street, Clerkenwell"," Clerkenwell","Berry Street"
247,"St. John's Wood Church, The Regent's Park"," The Regent's Park","St. John's Wood Church"
248,"Triangle Car Park, Hyde Park"," Hyde Park","Triangle Car Park"
249,"Harper Road, The Borough"," The Borough","Harper Road"
250,"Royal Avenue 1, Chelsea"," Chelsea","Royal Avenue 1"
251,"Brushfield Street, Liverpool Street"," Liverpool Street","Brushfield Street"
252,"Jubilee Gardens, South Bank"," South Bank","Jubilee Gardens"
253,"Shoreditch Park, Hoxton"," Hoxton","Shoreditch Park"
254,"Chadwell Street, Angel"," Angel","Chadwell Street"
255,"Clifton Road, Maida Vale"," Maida Vale","Clifton Road"
256,"Houghton Street, Strand"," Strand","Houghton Street"
257,"Westminster University, Marylebone"," Marylebone","Westminster University"
258,"Kensington Gore, Knightsbridge"," Knightsbridge","Kensington Gore"
259,"Bourne Street, Belgravia"," Belgravia","Bourne Street"
260,"Broadwick Street, Soho"," Soho","Broadwick Street"
261,"Princes Square, Bayswater"," Bayswater","Princes Square"
262,"LSBU (Borough Road), Elephant & Castle"," Elephant & Castle","LSBU (Borough Road)"
263,"St. Mary Axe, Aldgate"," Aldgate","St. Mary Axe"
264,"Tysoe Street, Clerkenwell"," Clerkenwell","Tysoe Street"
265,"Southwick Street, Paddington"," Paddington","Southwick Street"
266,"Queen's Gate (North), Kensington"," Kensington","Queen's Gate (North)"
267,"Regency Street, Westminster"," Westminster","Regency Street"
268,"Belgrave Road, Victoria"," Victoria","Belgrave Road"
269,"Empire Square, The Borough"," The Borough","Empire Square"
270,"Kennington Lane Rail Bridge, Vauxhall"," Vauxhall","Kennington Lane Rail Bridge"
271,"London Zoo,  The Regent's Park","  The Regent's Park","London Zoo"
272,"Baylis Road, Waterloo"," Waterloo","Baylis Road"
273,"Belvedere Road 1, South Bank"," South Bank","Belvedere Road 1"
274,"Warwick Road, Olympia"," Olympia","Warwick Road"
275,"Barbican Centre, Barbican"," Barbican","Barbican Centre"
276,"Lower Thames Street, Monument"," Monument","Lower Thames Street"
277,"Kensington Church Street, Kensington"," Kensington","Kensington Church Street"
278,"Tooley Street, Bermondsey"," Bermondsey","Tooley Street"
279,"North Wharf Road, Paddington"," Paddington","North Wharf Road"
